Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Trea Turner,- - -,148,646,28,107,77,32,6.3%,17.0%,0.208,0.362,0.328,0.375,0.536,0.386,0.357,142,5.0,39.5,7.6,6.9,16252
Vladimir Guerrero Jr.,TOR,161,698,48,123,111,4,12.3%,15.8%,0.290,0.313,0.311,0.401,0.601,0.419,0.413,166,-2.1,54.1,-11.1,6.7,19611
Bryce Harper,PHI,141,599,35,101,84,13,16.7%,22.4%,0.305,0.359,0.309,0.429,0.615,0.431,0.427,170,-2.5,50.7,-4.4,6.6,11579
Marcus Semien,TOR,162,724,45,115,102,15,9.1%,20.2%,0.273,0.276,0.265,0.334,0.538,0.368,0.329,131,4.0,31.5,10.0,6.6,12533
Juan Soto,WSN,151,654,29,111,95,9,22.2%,14.2%,0.221,0.332,0.313,0.465,0.534,0.420,0.426,163,-3.3,48.8,-4.3,6.6,20123
Jose Ramirez,CLE,152,636,36,111,103,27,11.3%,13.7%,0.272,0.256,0.266,0.355,0.538,0.372,0.372,137,6.3,35.4,5.8,6.3,13510
Fernando Tatis Jr.,SDP,130,546,42,99,97,25,11.4%,28.0%,0.328,0.324,0.282,0.364,0.611,0.403,0.401,156,9.3,48.5,-5.3,6.1,19709
Carlos Correa,HOU,148,640,26,104,92,0,11.7%,18.1%,0.205,0.308,0.279,0.366,0.485,0.364,0.372,134,-0.6,26.3,9.6,5.8,14162
Aaron Judge,NYY,148,633,39,89,98,6,11.8%,25.0%,0.256,0.332,0.287,0.373,0.544,0.387,0.413,148,-0.1,37.5,-4.2,5.5,15640
Bryan Reynolds,PIT,159,646,24,93,90,5,11.6%,18.4%,0.220,0.345,0.302,0.390,0.522,0.385,0.382,142,3.0,37.6,-4.4,5.5,19326
Brandon Crawford,SFG,138,549,24,79,90,11,10.2%,19.1%,0.224,0.334,0.298,0.373,0.522,0.377,0.350,139,0.4,27.8,8.6,5.5,5343
Starling Marte,- - -,120,526,12,89,55,47,8.2%,18.8%,0.148,0.369,0.308,0.381,0.456,0.363,0.341,133,12.3,33.9,2.6,5.4,9241
Tyler O'Neill,STL,138,537,34,89,80,15,7.1%,31.3%,0.274,0.366,0.286,0.352,0.560,0.384,0.388,144,4.7,35.1,0.9,5.4,15711
Cedric Mullins II,BAL,159,675,30,91,59,30,8.7%,18.5%,0.228,0.322,0.291,0.360,0.518,0.372,0.343,136,4.8,34.2,-3.9,5.3,17929
Brandon Lowe,TBR,149,615,39,97,99,7,11.1%,27.2%,0.277,0.280,0.247,0.340,0.523,0.363,0.357,137,4.9,32.8,-1.7,5.2,18882
Xander Bogaerts,BOS,144,603,23,90,79,5,10.3%,18.7%,0.198,0.333,0.295,0.370,0.493,0.368,0.356,130,1.2,23.7,7.7,5.2,12161
Jose Altuve,HOU,146,678,31,117,83,5,9.7%,13.4%,0.211,0.280,0.278,0.350,0.489,0.357,0.331,130,2.5,27.2,1.3,5.2,5417
Shohei Ohtani,LAA,158,639,46,103,100,26,15.0%,29.6%,0.335,0.303,0.257,0.372,0.592,0.393,0.405,152,2.5,42.9,-13.6,5.1,19755
Matt Olson,OAK,156,673,39,101,111,4,13.1%,16.8%,0.269,0.269,0.271,0.371,0.540,0.379,0.377,146,0.0,37.8,-10.5,5.0,14344
Buster Posey,SFG,113,454,18,68,56,0,12.3%,19.2%,0.195,0.349,0.304,0.390,0.499,0.379,0.359,140,-2.9,20.4,13.8,4.9,9166
Paul Goldschmidt,STL,158,679,31,102,99,12,9.9%,20.0%,0.221,0.331,0.294,0.365,0.514,0.373,0.394,138,2.3,34.9,-8.2,4.9,9218
